start,end,pm10,pm10_unit,latitude,longitude
2022-11-02 09:00:00,2022-11-02 10:00:00,51.170000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 10:00:00,2022-11-02 11:00:00,50.970000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 11:00:00,2022-11-02 12:00:00,53.870000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 12:00:00,2022-11-02 13:00:00,49.810000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 13:00:00,2022-11-02 14:00:00,49.630000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 14:00:00,2022-11-02 15:00:00,45.280000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 15:00:00,2022-11-02 16:00:00,52.850000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 16:00:00,2022-11-02 17:00:00,75.120000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 17:00:00,2022-11-02 18:00:00,89.070000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 18:00:00,2022-11-02 19:00:00,66.240000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 19:00:00,2022-11-02 20:00:00,55.920000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 20:00:00,2022-11-02 21:00:00,56.170000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 21:00:00,2022-11-02 22:00:00,58.710000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 22:00:00,2022-11-02 23:00:00,57.380000000000000000,ug.m-3,44.4264,26.1406
2022-11-02 23:00:00,2022-11-03 00:00:00,46.890000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 00:00:00,2022-11-03 01:00:00,38.820000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 01:00:00,2022-11-03 02:00:00,26.780000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 02:00:00,2022-11-03 03:00:00,27.010000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 03:00:00,2022-11-03 04:00:00,25.660000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 04:00:00,2022-11-03 05:00:00,25.310000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 05:00:00,2022-11-03 06:00:00,31.590000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 06:00:00,2022-11-03 07:00:00,37.850000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 07:00:00,2022-11-03 08:00:00,45.490000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 08:00:00,2022-11-03 09:00:00,52.680000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 09:00:00,2022-11-03 10:00:00,48.330000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 10:00:00,2022-11-03 11:00:00,41.960000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 11:00:00,2022-11-03 12:00:00,38.910000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 12:00:00,2022-11-03 13:00:00,31.560000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 13:00:00,2022-11-03 14:00:00,27.450000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 14:00:00,2022-11-03 15:00:00,24.330000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 15:00:00,2022-11-03 16:00:00,28.510000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 16:00:00,2022-11-03 17:00:00,33.240000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 17:00:00,2022-11-03 18:00:00,44.140000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 18:00:00,2022-11-03 19:00:00,49.160000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 19:00:00,2022-11-03 20:00:00,63.050000000000000000,ug.m-3,44.4264,26.1406
2022-11-03 20:00:00,2022-11-03 21:00:00,70.400000000000000000,ug.m-3,44.4264,26.1406
