start,end,no2,no2_unit,latitude,longitude
2017-10-01 22:00:00,2017-10-01 23:00:00,72.690000000000000000,ug.m-3,44.444925,26.127289
2017-10-01 23:00:00,2017-10-02 00:00:00,66.010000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 00:00:00,2017-10-02 01:00:00,50.760000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 01:00:00,2017-10-02 02:00:00,41.480000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 02:00:00,2017-10-02 03:00:00,30.190000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 03:00:00,2017-10-02 04:00:00,31.910000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 04:00:00,2017-10-02 05:00:00,29.370000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 07:00:00,2017-10-02 08:00:00,81.660000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 08:00:00,2017-10-02 09:00:00,82.140000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 09:00:00,2017-10-02 10:00:00,84.450000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 10:00:00,2017-10-02 11:00:00,65.630000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 11:00:00,2017-10-02 12:00:00,49.330000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 12:00:00,2017-10-02 13:00:00,51.250000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 13:00:00,2017-10-02 14:00:00,45.960000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 14:00:00,2017-10-02 15:00:00,59.020000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 15:00:00,2017-10-02 16:00:00,68.070000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 16:00:00,2017-10-02 17:00:00,68.750000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 17:00:00,2017-10-02 18:00:00,94.520000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 18:00:00,2017-10-02 19:00:00,112.320000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 19:00:00,2017-10-02 20:00:00,148.670000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 20:00:00,2017-10-02 21:00:00,141.880000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 21:00:00,2017-10-02 22:00:00,123.220000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 22:00:00,2017-10-02 23:00:00,110.490000000000000000,ug.m-3,44.444925,26.127289
2017-10-02 23:00:00,2017-10-03 00:00:00,105.450000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 00:00:00,2017-10-03 01:00:00,93.020000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 01:00:00,2017-10-03 02:00:00,84.590000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 02:00:00,2017-10-03 03:00:00,71.320000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 03:00:00,2017-10-03 04:00:00,55.340000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 04:00:00,2017-10-03 05:00:00,46.290000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 06:00:00,2017-10-03 07:00:00,60.020000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 07:00:00,2017-10-03 08:00:00,75.030000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 08:00:00,2017-10-03 09:00:00,85.910000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 09:00:00,2017-10-03 10:00:00,104.360000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 10:00:00,2017-10-03 11:00:00,91.450000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 11:00:00,2017-10-03 12:00:00,82.580000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 12:00:00,2017-10-03 13:00:00,88.290000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 13:00:00,2017-10-03 14:00:00,76.300000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 14:00:00,2017-10-03 15:00:00,65.020000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 15:00:00,2017-10-03 16:00:00,68.570000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 16:00:00,2017-10-03 17:00:00,72.390000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 17:00:00,2017-10-03 18:00:00,116.970000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 18:00:00,2017-10-03 19:00:00,152.180000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 19:00:00,2017-10-03 20:00:00,168.060000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 20:00:00,2017-10-03 21:00:00,218.170000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 21:00:00,2017-10-03 22:00:00,193.770000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 22:00:00,2017-10-03 23:00:00,141.970000000000000000,ug.m-3,44.444925,26.127289
2017-10-03 23:00:00,2017-10-04 00:00:00,87.960000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 00:00:00,2017-10-04 01:00:00,61.470000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 01:00:00,2017-10-04 02:00:00,63.830000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 02:00:00,2017-10-04 03:00:00,68.560000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 03:00:00,2017-10-04 04:00:00,65.810000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 05:00:00,2017-10-04 06:00:00,71.230000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 06:00:00,2017-10-04 07:00:00,77.040000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 07:00:00,2017-10-04 08:00:00,95.000000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 08:00:00,2017-10-04 09:00:00,112.720000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 09:00:00,2017-10-04 10:00:00,107.070000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 10:00:00,2017-10-04 11:00:00,70.430000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 11:00:00,2017-10-04 12:00:00,48.590000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 12:00:00,2017-10-04 13:00:00,48.630000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 13:00:00,2017-10-04 14:00:00,52.410000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 14:00:00,2017-10-04 15:00:00,57.120000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 15:00:00,2017-10-04 16:00:00,47.950000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 16:00:00,2017-10-04 17:00:00,44.280000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 17:00:00,2017-10-04 18:00:00,58.080000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 18:00:00,2017-10-04 19:00:00,118.120000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 19:00:00,2017-10-04 20:00:00,188.990000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 20:00:00,2017-10-04 21:00:00,183.030000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 21:00:00,2017-10-04 22:00:00,172.350000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 22:00:00,2017-10-04 23:00:00,131.110000000000000000,ug.m-3,44.444925,26.127289
2017-10-04 23:00:00,2017-10-05 00:00:00,100.790000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 00:00:00,2017-10-05 01:00:00,97.200000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 01:00:00,2017-10-05 02:00:00,96.790000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 02:00:00,2017-10-05 03:00:00,75.250000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 05:00:00,2017-10-05 06:00:00,33.080000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 06:00:00,2017-10-05 07:00:00,41.340000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 07:00:00,2017-10-05 08:00:00,51.580000000000000000,ug.m-3,44.444925,26.127289
2017-10-05 08:00:00,2017-10-05 09:00:00,78.660000000000000000,ug.m-3,44.444925,26.127289
